Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source
PGC 1343257,HECATE v1.1 via VizieR,134.381694 8.270424,EST 10.3 billion years — object-specific early-spiral stellar-population model; not a direct measurement,15.30400000 / 574.26 million ly,Sa–Sb spiral; de Vaucouleurs T=1.2,0.186 × 0.089 arcmin,"12,818.8 km/s",DERIVED 31.1 × 14.9 thousand ly,17.416 — catalog band requires verification,61.328 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2248411,HECATE v1.1 via VizieR,172.788950 44.625000,EST 8.5 billion years — object-specific spiral stellar-population model; not a direct measurement,16.43300000 / 597.09 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.143 × 0.123 arcmin,"13,082.5 km/s",DERIVED 24.8 × 21.4 thousand ly,17.391 — catalog band requires verification,61.181 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3391563,HECATE v1.1 via VizieR,141.862274 46.907706,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,17.21200000 / 372.98 million ly,Irregular; de Vaucouleurs T=10.0,0.161 × 0.069 arcmin,"7,997.8 km/s",DERIVED 17.5 × 7.5 thousand ly,18.325 — catalog band requires verification,60.644 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3540895,HECATE v1.1 via VizieR,166.871154 46.354411,EST 8.7 billion years — object-specific spiral stellar-population model; not a direct measurement,15.65800000 / 343.33 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.4,0.235 × 0.235 arcmin,"7,205.2 km/s",DERIVED 23.5 × 23.5 thousand ly,17.107 — catalog band requires verification,61.833 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 25572,HECATE v1.1 via VizieR,136.714134 37.642878,EST 10.4 billion years — object-specific early-spiral stellar-population model; not a direct measurement,14.34500000 / 395.26 million ly,Sa–Sb spiral; de Vaucouleurs T=2.0,0.317 × 0.113 arcmin,"8,489.5 km/s",DERIVED 36.4 × 13.0 thousand ly,15.775 — catalog band requires verification,63.493 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 86610,HECATE v1.1 via VizieR,122.422190 22.560292,EST 7.4 billion years — object-specific late-type stellar-population model; not a direct measurement,15.82300000 / 218.89 million ly,Sm / Magellanic spiral; de Vaucouleurs T=8.3,0.436 × 0.436 arcmin,"4,810.4 km/s",DERIVED 27.8 × 27.8 thousand ly,16.396 — catalog band requires verification,63.348 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3528744,HECATE v1.1 via VizieR,138.106820 9.848349,EST 10.4 billion years — object-specific early-spiral stellar-population model; not a direct measurement,15.81300000 / 424.07 million ly,Sa–Sb spiral; de Vaucouleurs T=2.0,0.229 × 0.080 arcmin,"9,322.3 km/s",DERIVED 28.2 × 9.9 thousand ly,17.412 — catalog band requires verification,61.504 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 12600,HECATE v1.1 via VizieR,50.416463 41.360266,EST 11.8 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,12.03700000 / 315.07 million ly,Lenticular / S0; de Vaucouleurs T=-3.0,0.690 × 0.543 arcmin,"6,573.5 km/s",DERIVED 63.2 × 49.8 thousand ly,14.337 — catalog band requires verification,66.423 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3474239,HECATE v1.1 via VizieR,175.578099 50.141921,EST 7.8 billion years — object-specific late-type stellar-population model; not a direct measurement,17.39100000 / 365.85 million ly,Irregular; de Vaucouleurs T=10.0,0.258 × 0.118 arcmin,"7,796.4 km/s",DERIVED 27.5 × 12.6 thousand ly,17.978 — catalog band requires verification,61.054 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2050483,HECATE v1.1 via VizieR,165.828381 34.521141,EST 9.7 billion years — object-specific early-spiral stellar-population model; not a direct measurement,16.41000000 / 406.02 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.135 × 0.112 arcmin,"8,715.2 km/s",DERIVED 15.9 × 13.2 thousand ly,17.712 — catalog band requires verification,60.828 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 5057732,HECATE v1.1 via VizieR,20.560417 31.254722,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 225.85 million ly,Not available,0.028 × 0.028 arcmin,"4,914.0 km/s",DERIVED 1.8 × 1.8 thousand ly,Not available,54.112 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1650948,HECATE v1.1 via VizieR,37.590874 21.483778,EST 9.5 billion years — object-specific general galaxy stellar-population model; not a direct measurement,15.26700000 / 184.35 million ly,Not available,0.346 × 0.166 arcmin,"3,987.0 km/s",DERIVED 18.6 × 8.9 thousand ly,16.580 — catalog band requires verification,60.804 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 22957,HECATE v1.1 via VizieR,122.806176 25.206881,EST 9.5 billion years — object-specific spiral stellar-population model; not a direct measurement,12.38400000 / 192.94 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.966 × 0.471 arcmin,"4,087.3 km/s",DERIVED 54.2 × 26.4 thousand ly,13.300 — catalog band requires verification,68.564 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 33301,HECATE v1.1 via VizieR,165.599767 38.505032,EST 10.4 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,12.92000000 / 460.71 million ly,Early spiral / S0-a; de Vaucouleurs T=0.0,0.519 × 0.519 arcmin,"8,541.1 km/s",DERIVED 69.6 × 69.6 thousand ly,15.089 — catalog band requires verification,64.987 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1648025,HECATE v1.1 via VizieR,147.433005 21.341074,EST 8.9 billion years — object-specific spiral stellar-population model; not a direct measurement,15.20800000 / 184.95 million ly,Scd–Sd spiral; de Vaucouleurs T=5.1,0.212 × 0.173 arcmin,"3,957.5 km/s",DERIVED 11.4 × 9.3 thousand ly,16.328 — catalog band requires verification,62.520 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1558672,HECATE v1.1 via VizieR,152.324466 18.405688,EST 9.2 billion years — object-specific spiral stellar-population model; not a direct measurement,15.50000000 / 469.80 million ly,Sbc–Sc spiral; de Vaucouleurs T=3.3,0.205 × 0.163 arcmin,"10,265.2 km/s",DERIVED 28.0 × 22.3 thousand ly,17.014 — catalog band requires verification,61.806 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 9595,HECATE v1.1 via VizieR,37.840708 43.465694,EST 10.4 billion years — object-specific early-spiral stellar-population model; not a direct measurement,Not available / 274.27 million ly,Early spiral / S0-a; de Vaucouleurs T=1.0,0.643 × 0.321 arcmin,"5,859.0 km/s",DERIVED 51.3 × 25.6 thousand ly,15.098 — catalog band requires verification,63.474 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 20359,HECATE v1.1 via VizieR,107.904042 39.664889,EST 9.6 billion years — object-specific spiral stellar-population model; not a direct measurement,14.60200000 / 303.03 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.8,0.310 × 0.155 arcmin,"6,360.0 km/s",DERIVED 27.3 × 13.7 thousand ly,15.177 — catalog band requires verification,64.063 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 1492114,HECATE v1.1 via VizieR,56.177779 15.736602,EST 9.3 billion years — object-specific spiral stellar-population model; not a direct measurement,14.28900000 / 602.94 million ly,Sbc–Sc spiral; de Vaucouleurs T=4.0,0.379 × 0.081 arcmin,"13,541.0 km/s",DERIVED 66.5 × 14.2 thousand ly,17.460 — catalog band requires verification,62.056 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2158195,HECATE v1.1 via VizieR,52.565866 39.946453,EST 9.7 billion years — object-specific general galaxy stellar-population model; not a direct measurement,14.28700000 / 364.43 million ly,Not available,0.182 × 0.151 arcmin,"7,915.0 km/s",DERIVED 19.3 × 16.0 thousand ly,16.500 — catalog band requires verification,60.228 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 2146378,HECATE v1.1 via VizieR,54.965875 39.254972,EST 9.6 billion years — object-specific general galaxy stellar-population model; not a direct measurement,13.82200000 / 291.42 million ly,Not available,0.288 × 0.123 arcmin,"6,174.0 km/s",DERIVED 24.4 × 10.4 thousand ly,16.250 — catalog band requires verification,60.902 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3400772,HECATE v1.1 via VizieR,171.571272 52.082540,EST 8.8 billion years — object-specific spiral stellar-population model; not a direct measurement,16.83900000 / 472.68 million ly,Sbc–Sc spiral; de Vaucouleurs T=5.0,0.141 × 0.074 arcmin,"10,163.3 km/s",DERIVED 19.4 × 10.2 thousand ly,18.328 — catalog band requires verification,60.564 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 6724017,HECATE v1.1 via VizieR,12.540832 29.457321,EST 9.2 billion years — object-specific general galaxy stellar-population model; not a direct measurement,16.71300000 / 489.01 million ly,Not available,0.259 × 0.069 arcmin,"10,704.1 km/s",DERIVED 36.8 × 9.8 thousand ly,Not available,57.036 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 24264,HECATE v1.1 via VizieR,129.540089 19.725655,EST 11.8 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,13.03700000 / 190.01 million ly,Elliptical; de Vaucouleurs T=-5.0,0.383 × 0.233 arcmin,"4,134.8 km/s",DERIVED 21.2 × 12.9 thousand ly,14.573 — catalog band requires verification,64.959 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 28362,HECATE v1.1 via VizieR,147.764578 30.533940,EST 8.0 billion years — object-specific late-type stellar-population model; not a direct measurement,16.88600000 / 206.48 million ly,Irregular; de Vaucouleurs T=10.0,0.122 × 0.101 arcmin,"4,425.8 km/s",DERIVED 7.3 × 6.1 thousand ly,17.854 — catalog band requires verification,60.634 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3090190,HECATE v1.1 via VizieR,124.181400 18.080099,EST 11.3 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,15.08700000 / 523.89 million ly,Elliptical; de Vaucouleurs T=-5.0,0.115 × 0.112 arcmin,"11,642.1 km/s",DERIVED 17.5 × 17.1 thousand ly,17.052 — catalog band requires verification,61.408 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 31388,HECATE v1.1 via VizieR,158.942438 21.048146,EST 9.1 billion years — object-specific spiral stellar-population model; not a direct measurement,13.05800000 / 335.75 million ly,Scd–Sd spiral; de Vaucouleurs T=5.4,0.895 × 0.207 arcmin,"7,059.7 km/s",DERIVED 87.4 × 20.2 thousand ly,14.746 — catalog band requires verification,66.834 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3444591,HECATE v1.1 via VizieR,118.938627 32.406450,EST 7.3 billion years — object-specific late-type stellar-population model; not a direct measurement,16.94500000 / 568.67 million ly,Irregular; de Vaucouleurs T=10.0,0.145 × 0.089 arcmin,"12,613.0 km/s",DERIVED 24.0 × 14.7 thousand ly,18.268 — catalog band requires verification,60.580 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3089861,HECATE v1.1 via VizieR,47.430959 21.207583,EST 9.3 billion years — object-specific general galaxy stellar-population model; not a direct measurement,Not available / 475.67 million ly,Not available,0.353 × 0.254 arcmin,"10,480.0 km/s",DERIVED 48.8 × 35.1 thousand ly,17.050 — catalog band requires verification,58.362 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3729213,HECATE v1.1 via VizieR,125.059977 12.275299,EST 11.0 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,14.57800000 / 534.97 million ly,Elliptical; de Vaucouleurs T=-5.0,0.316 × 0.126 arcmin,"11,955.7 km/s",DERIVED 49.2 × 19.6 thousand ly,16.421 — catalog band requires verification,62.843 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 100738,HECATE v1.1 via VizieR,36.683791 19.396306,EST 11.2 billion years — object-specific lenticular/early-type stellar-population model; not a direct measurement,Not available / 191.97 million ly,Lenticular / S0; de Vaucouleurs T=-1.0,0.388 × 0.269 arcmin,"4,190.3 km/s",DERIVED 21.7 × 15.0 thousand ly,15.960 — catalog band requires verification,61.592 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 3097171,HECATE v1.1 via VizieR,113.411041 24.729333,EST 10.2 billion years — object-specific early-spiral stellar-population model; not a direct measurement,13.91900000 / 255.24 million ly,Sa–Sb spiral; de Vaucouleurs T=3.0,0.476 × 0.181 arcmin,"5,643.0 km/s",DERIVED 35.3 × 13.4 thousand ly,Not available,59.904 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
PGC 139255,HECATE v1.1 via VizieR,152.636645 22.011076,EST 11.8 billion years — object-specific early-type morphology stellar-population model; not a direct measurement,16.98100000 / 64.97 million ly,Elliptical; de Vaucouleurs T=-5.0,0.156 × 0.120 arcmin,"1,280.0 km/s",DERIVED 2.9 × 2.3 thousand ly,16.969 — catalog band requires verification,61.655 — bridge/viewer-style internal ranking,Not available,HECATE catalog row; EST and DERIVED labels added by bridge audit
