Object,Source catalog,ICRS coordinates,Galaxy age,Redshift (z) / Distance,Morphological type,Angular size,Radial velocity,Physical size,Magnitude,Interest score,Distance method,Data source,Data score
PGC 9206,HECATE v1.1,36.374822 11.471493,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.01259938 / 172.91 million ly,AG? [SIMBAD classification],1.296 × 0.333 arcmin [catalog value; band/isophote may vary],"3,777.2 km/s",EST [65.2 × 16.8 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1704413,HECATE v1.1,44.655708 24.309222,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03380005 / 463.04 million ly,rG [SIMBAD classification],0.227 × 0.141 arcmin [catalog value; band/isophote may vary],"10,133.0 km/s",EST [30.6 × 19.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC55710,RC3,234.825000 15.383333,"EST [mixed/younger stellar populations possible, broadly 1–10 billion years; morphology-based, not a direct measurement]",0.00669704 / 93.55 million ly,AG? [SIMBAD classification],1.160 arcmin [catalog value],"2,001.0 km/s",EST [31.6 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,72% [completeness + multi-source agreement; not a scientific certainty score]
A   0059+30,RC3,15.600000 30.716667,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03459060 / 483.18 million ly,Not available,Not available,"10,370.0 km/s",Not available,Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; values marked EST require verification,50% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1506437,HyperLEDA PGC,39.987917 16.341667,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.560 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 6741320,HECATE v1.1,36.882918 21.709168,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.03013752 / 412.87 million ly,Not available,Not available,"9,035.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC 14693,HECATE v1.1,63.411732 25.482859,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.01272080 / 173.42 million ly,AG? [SIMBAD classification],1.710 × 0.410 arcmin [catalog value; band/isophote may vary],"3,813.6 km/s",EST [86.3 × 20.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1493863,HyperLEDA PGC,30.950000 15.811944,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01255747 / 175.41 million ly,AG? [SIMBAD classification],0.640 arcmin [catalog value],"3,741.0 km/s",EST [32.7 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 9404,HECATE v1.1,37.079541 30.568722,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.03556460 / 485.56 million ly,G [SIMBAD classification],0.514 × 0.297 arcmin [catalog value; band/isophote may vary],"10,662.0 km/s",EST [72.6 × 42.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5060804,HECATE v1.1,53.876250 38.283167,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01857618 / 254.70 million ly,AG? [SIMBAD classification],0.520 × 0.322 arcmin [catalog value; band/isophote may vary],"5,569.0 km/s",EST [38.5 × 23.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 7084,HECATE v1.1,28.683958 18.047139,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.01656713 / 224.79 million ly,GiG [SIMBAD classification],0.742 × 0.719 arcmin [catalog value; band/isophote may vary],"4,966.7 km/s",EST [48.5 × 47.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
NGC  2315,RC3,105.635833 50.591389,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.02054421 / 286.97 million ly,GiG [SIMBAD classification],1.130 arcmin [catalog value],"6,159.0 km/s",EST [94.3 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 97092,HECATE v1.1,81.982083 61.845583,"EST [mixed stellar populations, broadly 5–12 billion years; morphology-based, not a direct measurement]",0.03585814 / 494.66 million ly,G [SIMBAD classification],0.330 × 0.139 arcmin [catalog value; band/isophote may vary],"10,750.0 km/s",EST [47.5 × 20.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,88% [completeness + multi-source agreement; not a scientific certainty score]
NGC  2679,RC3,132.887917 30.865556,"EST [typically old-dominated stellar population, roughly 9–13 billion years; morphology-based, not a direct measurement]",0.00665460 / 92.95 million ly,GiP [SIMBAD classification],1.260 arcmin [catalog value],"1,995.0 km/s",EST [34.1 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,78% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1389326,HyperLEDA PGC,56.195833 11.137778,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.670 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 2351948,HECATE v1.1,84.504689 49.739726,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02086377 / 299.19 million ly,AG? [SIMBAD classification],0.750 × 0.255 arcmin [catalog value; band/isophote may vary],"6,254.8 km/s",EST [65.3 × 22.2 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,Not available,HECATE v1.1; SIMBAD; values marked EST require verification,80% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1423765,HyperLEDA PGC,54.845000 13.137778,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.390 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
PGC 5059865,HECATE v1.1,19.697082 24.453889,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01653144 / 226.23 million ly,Not available,Not available,"4,956.0 km/s",Not available,Not available,Not evaluated by bridge,Not available,HECATE v1.1; values marked EST require verification,60% [completeness + multi-source agreement; not a scientific certainty score]
PGC22460,RC3,120.150000 15.666667,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.01575090 / 220.02 million ly,GiG [SIMBAD classification],0.890 arcmin [catalog value],"4,722.0 km/s",EST [57.0 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],RC3; SIMBAD; values marked EST require verification,70% [completeness + multi-source agreement; not a scientific certainty score]
NPM1G+21.0107,HyperLEDA PGC,41.683333 21.227500,EST [broad 8–12 billion year population range; not object-specific; verify independently],0.02362634 / 330.02 million ly,G [SIMBAD classification],0.770 arcmin [catalog value],"6,999.4 km/s",EST [73.9 thousand ly; derived from adopted distance and angular size],Not available,Not evaluated by bridge,EST [simple Hubble-law distance; verify independently],HyperLEDA PGC; SIMBAD; values marked EST require verification,64% [completeness + multi-source agreement; not a scientific certainty score]
PGC 1495126,HyperLEDA PGC,54.746667 15.864722,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.860 arcmin [catalog value],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
NPM1G+15.0128,HyperLEDA PGC,48.569583 15.675278,EST [broad 8–12 billion year population range; not object-specific; verify independently],Not available / Not available,G [SIMBAD classification],0.197 × 0.173 arcmin [catalog value; band/isophote may vary],Not available,Not available,Not available,Not evaluated by bridge,Not available,HyperLEDA PGC; SIMBAD; values marked EST require verification,42% [completeness + multi-source agreement; not a scientific certainty score]
